    5627187200	the
    3395006400	of
    2994418400	and
    2595609600	to
    1742063600	in
    1176479700	i
    1107331800	that
    1007824500	was
     879975500	his
     839720500	he
     805811000	it
     772551200	with
     755747700	is
     709798100	for
     703754300	as
     613933600	had
     604890300	you
     574180300	not
     566252700	be
     520250100	her
     511326300	on
     509184100	at
     506105000	by
     458090600	which
     434650000	have
     422828700	or
     410811100	from
     401542500	this
     397199700	him
     389421100	but
     370334200	all
     341584600	she
     334039800	they
     332388400	were
     327769900	my
     322417800	are
     302713400	me
     283256900	one
     282026500	their
     280248100	so
     264141700	an
     263713600	said
     250991700	them
     249165500	we
     247266300	who
     240085800	would
     235765400	been
     232002200	will
     224114500	no
     198004600	when
     196120000	there
     195110200	if
     189978700	more
     187535100	out
     179271200	up
     170396300	into
     168016400	do
     166536600	any
     165855300	your
     160590800	what
     160232900	has
     157311700	man
     157111000	could
     153353000	other
     150877900	than
     149847300	our
     147676700	some
     146238200	very
     144968100	time
     142459500	upon
     141468700	about
     140064200	may
     137327000	its
     131836700	only
     131772300	now
     128062500	like
     127358900	little
     125563600	then
     121007400	can
     119215400	should
     118850100	made
     118572000	did
     117174200	us
     113675700	such
     113529400	a
     112016300	great
     111708900	before
     110811600	must
     109336600	two
     109051000	these
     108428600	see
     107561200	know
     105665900	over
     102182200	much
      98980800	down
      97857500	after
      97819600	first
      97441900	Mr
      96660200	good
      92305300	men
      92213000	own
      89967300	never
      88969100	most
      88791700	old
      88384600	shall
      88233100	day
      88197500	where
      87862100	those
      87314400	came
      87300700	come
      86347800	himself
      86002700	way
      82982300	work
      82548500	life
      81968400	without
      81653600	go
      80760000	make
      79959600	well
      79292500	through
      79222000	being
      79168600	long
      78812400	say
      78745500	might
      77060300	how
      76195700	am
      75885600	too
      75075000	even
      74899200	def
      74523000	again
      74416800	many
      74027000	back
      72982900	here
      71578000	think
      70444400	every
      70174100	people
      69018600	went
      68937600	same
      68083300	last
      67462300	thought
      67381000	away
      67116800	under
      65648600	take
      65451200	found
      64822700	hand
      64778800	eyes
      64006700	still
      62177300	place
      61391800	while
      61016800	just
      60804200	also
      59182100	young
      58861500	yet
      57087700	though
      56945900	against
      56755900	things
      56467400	get
      55920700	ever
      55400300	give
      55266800	god
      54742000	years
      54583200	off
      54425100	face
      54169200	nothing
      53673700	right
      53415400	once
      53398500	another
      53179700	left
      52613700	part
      52092200	saw
      51756400	house
      51755700	world
      51248100	head
      50214600	three
      50166900	took
      49804000	new
      49649600	love
      49583400	always
      49544300	mrs
      49518900	put
      48487800	night
      48459900	each
      47984900	king
      47903400	between
      47527700	tell
      47031300	mind
      46715700	heart
      46633800	few
      46558700	because
      46147200	thing
      45831200	whom
      45626700	far
      44788400	seemed
      44749100	looked
      44560200	called
      43505900	whole
      43339300	de
      43263700	set
      43249100	both
      43201600	got
      43112000	find
      43038900	done
      42997200	heard
      42887100	look
      42702100	name
      42610400	days
      42469600	told
      42432000	let
      42240700	lord
      42078800	country
      42004400	asked
      41931500	going
      41886200	seen
      41646300	better
      41567300	p
      41535500	having
      41349900	home
      41310100	knew
      40581000	side
      39872700	something
      39098800	moment
      38779000	father
      38754900	among
      38530300	course
      38508100	hands
      38415600	woman
      38226600	enough
      38032800	words
      37389800	mother
      37381300	soon
      37183100	full
      36976100	end
      36903600	gave
      36671900	room
      36663000	almost
      35997000	small
      35585700	thou
      35565600	cannot
      35546700	water
      35421200	want
      35282800	however
      35125300	light
      35053700	quite
      34992500	brought
      34969100	nor
      34968500	word
      34437700	whose
      34414100	given
      34238800	door
      33754400	best
      33736700	turned
      33521000	taken
      33433200	does
      33388300	use
      33056700	morning
      32863000	myself
      32832400	Gutenberg
      32652400	felt
      32639100	until
      32638600	since
      32624300	power
      32579300	themselves
      32579100	used
      32571900	rather
      32532700	began
      32450900	present
      32287000	voice
      32264300	others
      32246500	white
      31893700	works
      31649000	less
      31564200	money
      31316700	next
      31181800	poor
      30965300	death
      30802500	stood
      30750600	form
      30722300	within
      30495500	together
      30473500	till
      30448900	thy
      30424000	large
      30128300	matter
      29819100	kind
      29679800	often
      29679500	certain
      29591600	herself
      29574500	year
      29507800	friend
      29386600	half
      29359300	order
      29164700	round
      29142700	true
      28999700	anything
      28930400	keep
      28787600	sent
      28684700	wife
      28443100	means
      28196500	believe
      27986400	passed
      27982100	feet
      27887000	near
      27836500	public
      27768200	state
      27722700	son
      27599000	hundred
      27560700	children
      27522100	thus
      27374600	hope
      27217300	alone
      27164100	above
      27158800	case
      27050300	dear
      26941400	thee
      26854200	says
      26787800	person
      26667200	high
      26594700	read
      26513800	city
      26466200	already
      26460600	received
      26361300	fact
      26358500	gone
      26268900	girl
      26257100	known
      26074600	hear
      26059600	times
      25991600	least
      25796400	perhaps
      25588500	sure
      25578900	indeed
      25521200	english
      25437300	open
      25281200	body
      25125200	itself
      25116300	along
      24967700	land
      24953300	return
      24906300	leave
      24748000	air
      24679200	nature
      24625100	answered
      24442600	either
      24413800	law
      24371200	help
      24275300	lay
      24226900	point
      24220100	child
      24217800	letter
      24209900	four
      24109100	wish
      24065200	fire
      24028000	cried
      24000900	2
      23973500	women
      23902500	speak
      23873400	number
      23828100	therefore
      23796400	hour
      23748100	friends
      23547400	held
      23501200	free
      23454400	war
      23377100	during
      23319700	several
      23315800	business
      23081900	whether
      23048500	er
      23040100	manner
      23030000	second
      22994000	reason
      22991300	replied
      22695300	united
      22666100	call
      22639100	general
      22621600	why
      22620500	behind
      22481100	became
      22456900	john
      22432600	become
      22404900	dead
      22254600	earth
      22231500	boy
      22226400	lost
      22059800	forth
      21862300	thousand
      21851000	looking
      21837200	I'll
      21811800	family
      21784000	soul
      21635600	feel
      21514700	coming
      21433900	England
      21325700	spirit
      21312400	question
      21307200	care
      21254800	truth
      21236900	ground
      21172200	really
      21166800	rest
      21129900	mean
      21104300	different
      21003100	making
      20909900	possible
      20834400	fell
      20819900	towards
      20674000	human
      20632900	kept
      20621600	short
      20568700	town
      20565300	following
      20495500	need
      20468600	cause
      20395600	met
      20333100	evening
      20204100	returned
      20145100	five
      20022400	strong
      20014500	able
      19996900	french
      19965800	live
      19956000	lady
      19856600	subject
      19849800	sn
      19818700	answer
      19812800	sea
      19673900	fear
      19672900	understand
      19645800	hard
      19625200	terms
      19590500	doubt
      19559400	around
      19490300	ask
      19429800	arms
      19276300	turn
      19271900	sense
      19222900	seems
      19127200	black
      19114800	bring
      19064900	followed
      19056300	beautiful
      18891500	close
      18831600	dark
      18660900	hold
      18625600	character
      18613600	sort
      18586200	sight
      18461200	ten
      18407400	show
      18406800	party
      18305900	fine
      18297800	ye
      18186600	ready
      18099800	story
      18006100	common
      17973900	book
      17934700	electronic
      17887700	talk
      17845200	account
      17808400	mark
      17800100	interest
      17723200	written
      17672800	can't
      17663500	bed
      17646700	necessary
      17632000	age
      17598000	else
      17552000	force
      17423600	idea
      17389700	longer
      17354400	art
      17299000	spoke
      17290100	across
      17269200	brother
      17246700	early
      17169000	ought
      17130900	sometimes
      17096200	line
      17069500	saying
      17014300	table
      16991300	appeared
      16947000	river
      16908600	continued
      16872300	eye
      16871300	ety
      16854500	sun
      16840800	information
      16780500	later
      16639500	everything
      16575200	reached
      16485000	suddenly
      16470300	past
      16432600	hours
      16414700	strange
      16381900	deep
      16351400	change
      16334100	miles
      16326900	feeling
      16286900	act
      16268700	meet
      16260500	paid
      16232800	further
      16215400	purpose
      16210500	happy
      16195300	added
      16154900	seem
      16062600	taking
      16054700	blood
      15979400	rose
      15866400	south
      15834400	beyond
      15820400	cold
      15820000	neither
      15757800	forward
      15741600	view
      15721000	I've
      15685100	position
      15661600	sound
      15574300	none
      15548000	entered
      15547200	clear
      15497700	road
      15484000	late
      15458200	stand
      15453600	suppose
      15445700	la
      15426100	daughter
      15404600	real
      15400100	nearly
      15394000	mine
      15383000	laws
      15382900	knowledge
      15329900	comes
      15297200	toward
      15288900	bad
      15262500	cut
      15166100	copy
